,GCPU(PPP-adjusted GDP)
258,112.12710456140589
259,60.27900075478311
260,85.04511650756015
261,84.95397119108686
262,92.14123059028594
263,149.1935150684612
264,153.2364590118858
265,132.59347881326858
266,135.41945149898876
267,196.67578616004096
268,194.91097717410804
269,188.70996143301167
270,198.58072317132698
271,190.29034811401243
272,189.3466516860441
273,207.9140714316
274,240.50289430678998
275,254.229490989988
276,252.56403827817397
277,225.82582743787083
278,244.52526211966352
279,261.59201689307645
280,330.33636020529656
281,279.9461642023584
