,GCPU(PPP-adjusted GDP)
258,150.75277422999028
259,134.1564804359659
260,138.2323673667321
261,142.90681364334412
262,158.46615552171556
263,160.46559862664978
264,178.10738120092265
265,154.94101258396245
266,144.36759015890186
267,174.11328127674537
268,213.2949515858176
269,187.35733660857403
270,214.45254081809327
271,195.4337558893134
272,203.51269501993323
273,209.64043870606324
274,236.03339479598637
275,227.01475522480112
276,179.4562510079635
277,258.98756265158136
278,229.2167479025041
279,236.8214988785096
280,266.48933139702564
281,269.5149612505064
