,GCPU(PPP-adjusted GDP)
258,126.34170952439362
259,129.06892669757508
260,148.6169194427786
261,148.80625680781225
262,170.84046799676867
263,177.25706495090517
264,197.82997884458206
265,168.8875166918474
266,175.18963002995648
267,176.60230257748307
268,177.38026266318656
269,172.38605428769793
270,201.18413996249194
271,204.16886549545387
272,222.38510642575886
273,226.1127776343646
274,262.7812946317859
275,278.31794769189696
276,196.3815315903582
277,211.35857536333535
278,247.84044061701974
279,230.14569929700053
280,237.76861297455574
281,239.273084254385
