,GCPU(PPP-adjusted GDP)
258,131.46634445364998
259,89.82500844681672
260,106.47147354245305
261,106.78730030297154
262,88.31393581881801
263,144.21457923224477
264,151.88884201063507
265,132.38876440188878
266,133.68948354229562
267,184.08027205378266
268,202.67290618250266
269,166.5848213670704
270,215.0424265612356
271,213.0001396346343
272,195.0861266134586
273,188.2575749931425
274,223.17629389847775
275,263.6260703545069
276,218.52022030175164
277,223.21586846958422
278,197.97686651397115
279,229.27106817789488
280,252.40055330013087
281,222.95519597359183
