,GCPU(PPP-adjusted GDP)
258,169.06399751112957
259,142.0002247795827
260,110.7398389891627
261,109.71763707152826
262,128.983073371651
263,158.1348825243603
264,122.35623529553035
265,124.84548638290778
266,158.64451949151513
267,184.4849401474911
268,168.25756466802991
269,140.81017777567
270,156.78770774568744
271,151.76714326239224
272,161.71162648481143
273,171.08223770854755
274,209.60689728589094
275,248.92122331812078
276,214.83203839497327
277,182.37660518994372
278,199.99830883715782
279,242.1308463812469
280,293.2414043295023
281,247.9668855012029
