,GCPU(PPP-adjusted GDP)
258,109.39787573088708
259,114.93662577255805
260,107.74481758865029
261,117.10976610339358
262,90.65819133519352
263,108.76090166800965
264,136.45277879955214
265,131.92161651821615
266,134.17174105642496
267,184.53289613749544
268,174.89327492427154
269,176.61597691830346
270,169.11284495873755
271,166.71811326952147
272,169.29805472159035
273,197.88393964063647
274,227.2067697709274
275,233.0614784672023
276,198.17188048531216
277,239.87088235932077
278,239.99634425857602
279,231.8679409270712
280,218.54946134970518
281,242.53765026672724
