,GCPU(PPP-adjusted GDP)
258,121.49586968699111
259,115.86688698906411
260,135.3349733100924
261,143.64142291119873
262,136.54849107408705
263,157.39007928518484
264,202.784912290722
265,150.75084000147945
266,166.43524664208735
267,165.5693401478125
268,143.76937581485296
269,152.2388668404869
270,188.51845139218472
271,208.5852204155023
272,228.2844659691733
273,228.15408054447914
274,258.36454819390724
275,211.00458648279664
276,213.15604889857272
277,221.83201854940614
278,225.87964018135568
279,217.30393832096073
280,216.74253261459933
281,238.5302511727443
