Date,ARFIMA,ARIMA,BSTS,ARNN,,,,,
7/31/2021,132.9940424,139.4069628,140.3326,140.44144,,,,,
8/31/2021,131.5286147,138.8375758,141.7019,164.0184549,,,,,
9/30/2021,130.2061904,138.6313928,150.2244,143.5261229,,,,,
10/31/2021,129.0994164,138.4946481,149.0329,141.6765013,,,,,
11/30/2021,128.0884911,138.379743,153.6851,137.9822812,,,,,
12/31/2021,127.1527181,138.2780335,155.6435,152.6574312,,,,,
1/31/2022,126.2803171,138.1871377,155.4023,150.1669509,,,,,
2/28/2022,125.4638013,138.1057676,136.6127,123.7735636,,,,,
3/31/2022,124.6973167,138.032903,142.1125,137.6578407,,,,,
4/30/2022,123.9759563,137.9676515,139.3068,149.6841573,,,,,
5/31/2022,123.2954791,137.909217,143.7365,133.214101,,,,,
6/30/2022,122.6521731,137.8568873,153.122,123.5220153,,,,,
7/31/2022,122.0427691,137.8100246,148.9986,140.546732,,,,,
8/31/2022,121.4643759,137.7680577,150.1982,134.1869413,,,,,
9/30/2022,120.9144291,137.7304752,159.4868,122.3337108,,,,,
10/31/2022,120.3906469,137.696819,154.0637,130.5211735,,,,,
11/30/2022,119.8909935,137.6666789,159.466,112.5365507,,,,,
12/31/2022,119.4136471,137.6396877,161.4443,125.8132187,,,,,
1/31/2023,118.9569728,137.6155162,160.0616,135.1457445,,,,,
2/28/2023,118.5194991,137.59387,146.0814,131.9861606,,,,,
3/31/2023,118.0998982,137.5744852,148.994,127.4129817,,,,,
4/30/2023,117.6969683,137.5571256,147.3614,134.657412,,,,,
5/31/2023,117.3096191,137.5415795,148.9878,134.1624967,,,,,
6/30/2023,116.9368587,137.5276576,161.2029,138.4705988,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
