Date,ARNN,BSTS,ARFIMA,ARIMA,,,,,,
7/31/2022,2.266384552,2.758394127,2.473269,1.1700649,,,,,,
8/31/2022,2.256907013,2.739731694,2.45619,2.0487873,,,,,,
9/30/2022,2.036206872,2.747979756,2.430326,1.752618,,,,,,
10/31/2022,1.444653705,2.723197963,2.403469,0.985097,,,,,,
11/30/2022,1.105967491,2.723986442,2.377475,0.7332005,,,,,,
12/31/2022,1.978420848,2.750964936,2.352885,2.094498,,,,,,
1/31/2023,1.661821403,2.737187533,2.329819,1.6921306,,,,,,
2/28/2023,1.661878817,2.737960369,2.308243,1.9345622,,,,,,
3/31/2023,1.887364881,2.764602019,2.288067,2.4458565,,,,,,
4/30/2023,2.118156509,2.754809718,2.269181,2.4120632,,,,,,
5/31/2023,1.393526902,2.754372069,2.251476,2.9195517,,,,,,
6/30/2023,2.068680357,2.718195845,2.234848,3.3669944,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
